id,label,available,residence_label,residence_address,residence_city,residence_postal_code,sector_label,lat,lon,area_min,area_max,rent_min,rent_max,occupation_type,adapted_pmr,high_demand,low_stock,url
1701,T1 24,False,Torcy,"20, 22, 24 Promenade du Belvedere 77200 TORCY",TORCY,77200,MARNE-LA-VALLEE_77,48.851,2.654,24.19,27.82,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/1701
1712,Pajol 2 T1,False,PAJOL 2,63/65 ter rue Philippe de Girard - 75018 PARIS,PARIS,75018,Paris,48.886,2.361,17.0,23.0,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/1712
1716,T1 Colocation,True,Cergy-Linandes extension,"1, place des Linandes Mauves 95000 Cergy",Cergy,95000,CERGY,49.043,2.071,32.08,38.88,301.67,344.0,house_sharing,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/1716
1727,Parmentier T1,False,PARMENTIER,8 rue Parmentier - 92200 Neuilly-sur-Seine,Neuilly-sur-Seine,92200,Paris,48.883,2.281,18.0,27.0,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/1727
1731,T1 28,False,Torcy,"20, 22, 24 Promenade du Belvedere 77200 TORCY",TORCY,77200,MARNE-LA-VALLEE_77,48.851,2.654,28.22,28.22,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/1731
1740,Parmentier T1 PMR,False,PARMENTIER,8 rue Parmentier - 92200 Neuilly-sur-Seine,Neuilly-sur-Seine,92200,Paris,48.883,2.281,18.0,27.0,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/1740
1751,T3 Colocation,True,Evry- Aunettes,1 Impasse de la Predecelle 91000 EVRY,EVRY,91000,EVRY,48.618,2.434,31.17,31.73,285.15,285.15,house_sharing,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/1751
1754,T2 Grand,False,Moissy Cramayel - Alfred Sisley,106 rue Bajot 77550 Moissy Cramayel,Moissy Cramayel,77550,SENART_77,48.628,2.589,23.22,23.22,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/1754
1755,Girard T1,False,PHILIPPE DE GIRARD,"13, rue Philippe de Girard 75010 PARIS",PARIS,75010,Paris,48.882,2.361,22.0,31.0,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/1755
1761,T1 couple,False,Tour Illustration,1 bis rue de Chablis 93000 Bobigny,Bobigny,93000,SEINE-SAINT-DENIS_93,48.912,2.42,21.08,27.81,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/1761
1764,Girard T2,False,PHILIPPE DE GIRARD,"13, rue Philippe de Girard 75010 PARIS",PARIS,75010,Paris,48.882,2.361,48.0,48.0,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/1764
1771,Studio 19,False,Résidence du Vivier,44 rue du Vivier 62200 BOULOGNE-SUR-MER,BOULOGNE-SUR-MER,62200,Boulogne-sur-Mer,50.727,1.605,18.34,19.88,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/1771
1776,Girard 2 T1,False,PHILIPPE DE GIRARD 2,83 rue Philippe de Girard - 75018 PARIS,PARIS,75018,Paris,48.888,2.36,15.0,21.0,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/1776
1780,T2,False,Lieusaint,1 rue du Terme Boreal 77127 LIEUSAINT,LIEUSAINT,77127,SENART_77,48.629,2.554,23.875,23.875,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/1780
1784,Studio 20-21,False,Résidence du Vivier,44 rue du Vivier 62200 BOULOGNE-SUR-MER,BOULOGNE-SUR-MER,62200,Boulogne-sur-Mer,50.727,1.605,20.26,21.64,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/1784
1785,Girard 2 T1 PMR,False,PHILIPPE DE GIRARD 2,83 rue Philippe de Girard - 75018 PARIS,PARIS,75018,Paris,48.888,2.36,21.0,21.0,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/1785
1789,T1 Bis duplex,False,Tour Illustration,1 bis rue de Chablis 93000 Bobigny,Bobigny,93000,SEINE-SAINT-DENIS_93,48.912,2.42,25.7,36.77,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/1789
1793,Girard 2 T2,False,PHILIPPE DE GIRARD 2,83 rue Philippe de Girard - 75018 PARIS,PARIS,75018,Paris,48.888,2.36,49.0,49.0,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/1793
1795,Studio 22-23,False,Résidence du Vivier,44 rue du Vivier 62200 BOULOGNE-SUR-MER,BOULOGNE-SUR-MER,62200,Boulogne-sur-Mer,50.727,1.605,22.25,23.59,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/1795
1798,T1 Colocation,False,VSQ-Guyancourt - Vauban,"1, Boulevard d Alembert 78280 - GUYANCOURT",- GUYANCOURT,78280,VERSAILLES -ST-QUENTIN,48.78,2.044,36.74,36.74,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/1798
1801,Pitié T1,False,PITIE,"97, boulevard de l hopital 75013 PARIS",PARIS,75013,Paris,48.838,2.362,18.0,20.0,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/1801
1802,Studio 24-25,False,Résidence du Vivier,44 rue du Vivier 62200 BOULOGNE-SUR-MER,BOULOGNE-SUR-MER,62200,Boulogne-sur-Mer,50.727,1.605,24.22,25.22,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/1802
1805,T1 PMR,False,Tour Illustration,1 bis rue de Chablis 93000 Bobigny,Bobigny,93000,SEINE-SAINT-DENIS_93,48.912,2.42,23.18,23.39,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/1805
1808,Poissonniers T1,False,POISSONNIERS,14/24 avenue de la Porte des Poissonniers - 75018 Paris,Paris,75018,Paris,48.899,2.352,19.5,21.0,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/1808
1817,Poissonniers T1bis,False,POISSONNIERS,14/24 avenue de la Porte des Poissonniers - 75018 Paris,Paris,75018,Paris,48.899,2.352,26.0,31.0,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/1817
1822,T2 (Colocation),False,Lieusaint,1 rue du Terme Boreal 77127 LIEUSAINT,LIEUSAINT,77127,SENART_77,48.629,2.554,23.875,23.875,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/1822
1826,T1,False,Tour Illustration,1 bis rue de Chablis 93000 Bobigny,Bobigny,93000,SEINE-SAINT-DENIS_93,48.912,2.42,15.35,20.64,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/1826
1827,Poissonniers T1bis PMR,False,POISSONNIERS,14/24 avenue de la Porte des Poissonniers - 75018 Paris,Paris,75018,Paris,48.899,2.352,26.0,31.0,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/1827
1831,T2,False,Clichy,71-73 rue Villeneuve 92110 CLICHY LA GARENNE,CLICHY LA GARENNE,92110,NANTERRE,48.907,2.315,22.47,30.63,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/1831
1840,Porte de Vanves T1,False,PORTE DE VANVES,14- 16 place de la porte de Vanves - 75014 Paris,Paris,75014,Paris,48.827,2.304,18.0,23.0,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/1840
1849,Poulet T1,False,POULET,"9, rue de poulet - 75018 Paris",Paris,75018,Paris,48.887,2.348,18.0,18.0,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/1849
